Sensor_Type,Incident_Type,Weather_Condition,Time_of_Day,Traffic_Density,Alert_Level,Detection_Method,Response_Time,Location_Type,Data_Source
Camera,Road Block,Foggy,Night,Medium,Low,Classification,5-15 mins,Urban,On-premise Server
Radar,Traffic Jam,Foggy,Afternoon,Low,Medium,Classification,5-15 mins,Suburban,On-premise Server
Camera,Traffic Jam,Foggy,Night,Medium,High,Anomaly Detection,5-15 mins,Rural,On-premise Server
Radar,Traffic Jam,Foggy,Morning,Low,Medium,Classification,<5 mins,Urban,Cloud Server
LIDAR,Accident,Rainy,Afternoon,Medium,Low,Clustering,5-15 mins,Urban,Edge Device
Radar,Road Block,Rainy,Night,Low,High,Classification,>15 mins,Rural,On-premise Server
Radar,Accident,Clear,Night,High,Medium,Classification,<5 mins,Suburban,Edge Device
Radar,Accident,Foggy,Morning,Low,Low,Anomaly Detection,<5 mins,Rural,On-premise Server
Camera,Road Block,Clear,Night,Medium,Low,Classification,5-15 mins,Suburban,On-premise Server
Radar,Accident,Clear,Afternoon,Low,Low,Classification,5-15 mins,Rural,Edge Device
Radar,Accident,Foggy,Night,Low,Medium,Anomaly Detection,>15 mins,Urban,Cloud Server
LIDAR,Traffic Jam,Foggy,Morning,Low,High,Clustering,<5 mins,Urban,Cloud Server
Radar,Traffic Jam,Rainy,Morning,High,Low,Clustering,<5 mins,Suburban,Cloud Server
LIDAR,Road Block,Rainy,Morning,High,Low,Clustering,<5 mins,Rural,On-premise Server
LIDAR,Traffic Jam,Rainy,Morning,Low,Medium,Classification,5-15 mins,Rural,Edge Device
LIDAR,Road Block,Foggy,Morning,Medium,Medium,Anomaly Detection,5-15 mins,Rural,Cloud Server
Camera,Traffic Jam,Foggy,Night,Medium,High,Classification,>15 mins,Rural,Edge Device
Camera,Road Block,Clear,Morning,Medium,Medium,Clustering,5-15 mins,Urban,Edge Device
LIDAR,Traffic Jam,Rainy,Night,Low,High,Clustering,>15 mins,Urban,Cloud Server
Camera,Road Block,Rainy,Morning,Low,High,Classification,>15 mins,Urban,Cloud Server
Camera,Traffic Jam,Rainy,Morning,Medium,Low,Clustering,>15 mins,Suburban,On-premise Server
LIDAR,Traffic Jam,Clear,Morning,Medium,High,Classification,5-15 mins,Suburban,On-premise Server
LIDAR,Traffic Jam,Rainy,Morning,Low,Medium,Clustering,>15 mins,Urban,Edge Device
LIDAR,Road Block,Clear,Night,High,Low,Anomaly Detection,>15 mins,Suburban,On-premise Server
